09.01.2020
Sara 1
Lisa 0
Cindy 0
Nicole 0
Brook 0
Blair 0
Abby 0
Amy 0
Megan 0
Eligabeth 0
Meridth 0
Lesile 0
Chelsea 0
Katie 0
Jill 0
Jordan 0
Bryce 0
Evan 0
Scott 1
Braden 0
Josh 0
Christopher 1
Jon 0
Joe 0
Brad 0
Kayo 0
Steve 0
Tim 0
Michael 0
Gearin 0
Mary 0
James 0
Andre 0
Talles 0
Fernando 0
Eric 0
Olavo 0
Raul 0
Jennifer 0
Carsten 0
Marcus 0
Johannes 0
Ludi 0
Lucy 0
Erin 0
Kevin 0
Alexander 0
Peter 1
Joey 0
Joyce 0
Kim 0
Emily 0
Jane 0
George 0
Jason 0
Nathan 0
Sherry 0
Frank 0
Delores 0
Regina 0
Ben 0
Claire 0
Matthew 0
Derek 0
Anthony 0
Laura 0
Heather 0
Kelsey 0
Molly 0
David 0
Russel 0
Rachel 0
Sean 0
Shawna 0
Robert 0
Natalia 0
Miguel 0
